year,lat,lon,num_taps,num_hh,wp_pop_last,num_kiosks,num_scheme_tanks,wp_revenue_model,volume_method,country_name,wp_m3,wp_revenue_USD,quarters_used,wp_type_cat,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,wp_count_within_500m,wp_count_within_1000m,wp_count_within_2000m,wp_count_within_10000m,wp_count_within_20000m,pop_served_last_within_500m,pop_served_last_within_1000m,pop_served_last_within_2000m,pop_served_last_within_5000m,pop_served_last_within_10000m,pop_served_last_within_20000m,Population_Within_500m,Population_Within_1000m,Population_Within_2000m,Population_Within_5000m,Population_Within_10000m,Population_Within_20000m
2022,0.0000,0.0000,0,0,540,0,,waterpoint,estimated,5,6840,0,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,22,52,4260,4260,4260,21640,45840,114180,635.0894189,849.0610047,1881.180785,16765.47545,55627.78571,169661.8942
2022,0.0000,0.0000,0,0,275,,,waterpoint,,9,0,105.84,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,2700,9160,24060,79.8174192,478.9045152,1755.983222,6819.277203,26224.43827,149319.3699
2022,0.0000,0.0000,0,0,185,,,waterpoint,,9,0,227.53,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,1700,8000,22420,136.8298615,444.6970498,1961.228015,3808.431144,22356.77814,122863.8512
2022,0.0000,0.0000,0,0,200,,,waterpoint,,9,0,12.96,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,0,0,2140,11760,22360,34.20746537,136.8298615,330.6721652,5872.281555,27901.5857,113420.6097
2022,0.0000,0.0000,0,0,180,,,waterpoint,,9,0,92.74,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,0,0,3400,15200,25040,182.4398153,505.8649856,1647.278299,11283.37205,36935.6402,170057.1148
2022,0.0000,0.0000,0,0,350,,,waterpoint,,9,0,111.36,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,0,0,4100,12660,21760,57.01244228,752.5642381,1356.896126,6385.393536,27043.68592,106330.2259
2022,0.0000,0.0000,0,0,250,,,waterpoint,,7,365,45.78,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,8,19,24,107,256,8000,19000,24000,53000,139392,288624,1527.404121,4664.457199,14522.08841,51747.86985,392756.7453,1080079.211
2022,0.0000,0.0000,0,0,250,,,waterpoint,,7,365,63.59,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,6,21,23,100,256,6000,21000,23000,52000,128392,288624,1163.176984,3360.289066,7625.271341,47044.34921,393265.8681,1064807.253
2022,0.0000,0.0000,0,0,250,,,waterpoint,,7,365,45.78,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,4,17,30,126,255,4000,17000,30000,48000,156624,285624,1174.926247,3219.297916,10844.56926,47302.83298,354795.0373,1008686.692
2022,0.0000,0.0000,0,0,400,,,waterpoint,,9,0,194.78,"1,2,3,4",Handpump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,0,6900,9820,20760,262.2572345,843.7841458,2383.89138,8634.654751,28856.55875,144835.7501
